anno,provincia,comune,tipo_di_strada,condizioni_meteorologiche,natura_incidente,morti_entro_30_giorni,feriti,Ora,tipo_di_strada_txt,Ora_formattata
24,66,6,2,7,2,0,1,11.0,Doppio senso,11:00
24,66,6,2,1,5,0,1,12.0,Doppio senso,12:00
24,66,6,1,3,2,0,1,15.0,Senso unico,15:00
24,66,6,2,6,2,0,4,11.0,Doppio senso,11:00
24,66,6,2,1,2,0,1,12.0,Doppio senso,12:00
24,66,49,2,3,2,0,4,8.0,Doppio senso,08:00
24,66,49,4,1,2,0,2,17.0,Più di due carreggiate,17:00
24,66,49,2,3,5,0,1,17.0,Doppio senso,17:00
24,66,49,2,1,1,0,1,16.0,Doppio senso,16:00
24,66,49,2,1,10,0,1,16.0,Doppio senso,16:00
24,66,49,1,1,2,0,1,9.0,Senso unico,09:00
24,66,75,2,1,5,0,1,16.0,Doppio senso,16:00
24,67,1,2,1,7,0,1,15.0,Doppio senso,15:00
24,67,25,2,1,5,0,1,10.0,Doppio senso,10:00
24,67,25,2,1,4,0,1,15.0,Doppio senso,15:00
24,67,25,2,1,4,0,2,15.0,Doppio senso,15:00
24,67,25,2,1,2,0,1,16.0,Doppio senso,16:00
24,67,25,2,1,4,0,1,10.0,Doppio senso,10:00
24,67,30,2,1,2,0,1,17.0,Doppio senso,17:00
24,67,37,2,7,6,0,1,12.0,Doppio senso,12:00
24,67,39,2,1,2,0,2,8.0,Doppio senso,08:00
24,67,40,2,1,5,0,0,9.0,Doppio senso,09:00
24,67,41,2,3,8,0,1,12.0,Doppio senso,12:00
24,67,41,2,3,5,0,1,15.0,Doppio senso,15:00
24,67,41,2,1,5,0,1,13.0,Doppio senso,13:00
24,67,44,2,1,4,0,2,12.0,Doppio senso,12:00
24,67,44,2,1,2,0,1,12.0,Doppio senso,12:00
24,68,11,2,1,8,0,1,12.0,Doppio senso,12:00
24,68,11,2,1,4,0,1,13.0,Doppio senso,13:00
24,68,12,2,1,4,0,1,10.0,Doppio senso,10:00
24,68,12,2,3,8,0,1,11.0,Doppio senso,11:00
24,68,12,2,1,2,0,1,11.0,Doppio senso,11:00
24,68,24,2,3,2,0,1,7.0,Doppio senso,07:00
24,68,24,2,3,1,0,2,8.0,Doppio senso,08:00
24,68,24,2,3,5,0,1,18.0,Doppio senso,18:00
24,68,24,2,7,2,0,2,15.0,Doppio senso,15:00
24,68,24,2,1,2,0,1,19.0,Doppio senso,19:00
24,68,24,2,1,2,0,1,16.0,Doppio senso,16:00
24,68,41,2,1,8,0,1,17.0,Doppio senso,17:00
24,69,22,2,3,5,0,1,17.0,Doppio senso,17:00
24,69,22,2,1,6,0,1,15.0,Doppio senso,15:00
24,69,22,1,1,4,0,1,15.0,Senso unico,15:00
24,69,22,2,1,6,0,1,14.0,Doppio senso,14:00
24,69,46,2,1,1,0,1,12.0,Doppio senso,12:00
24,69,46,2,3,4,0,2,13.0,Doppio senso,13:00
24,69,46,2,1,5,0,1,18.0,Doppio senso,18:00
24,69,46,1,1,5,0,1,17.0,Senso unico,17:00
24,69,83,2,3,2,0,1,9.0,Doppio senso,09:00
24,69,83,2,1,2,0,1,15.0,Doppio senso,15:00
24,69,83,2,1,6,0,2,10.0,Doppio senso,10:00
24,69,86,2,1,7,0,1,9.0,Doppio senso,09:00
24,69,99,2,1,1,0,2,8.0,Doppio senso,08:00
24,69,99,2,1,2,0,3,13.0,Doppio senso,13:00
24,69,99,2,1,2,0,1,6.0,Doppio senso,06:00
24,69,99,2,1,5,0,1,17.0,Doppio senso,17:00
24,69,99,2,1,10,0,1,14.0,Doppio senso,14:00
